Source,Target,Weight
Rachel, Monica, 5
Ross, Monica, 2
Joey, Monica, 3
Phoebe, Monica, 2
Phoebe, Joey, 2
Phoebe, Ross, 1
Phoebe, Chandler, 1
Phoebe, Rachel, 1
Rachel, Joey, 1
Rachel, Chandler, 2
Rachel, Ross, 4
Joey, Chandler, 3
Joey, Ross, 2
Chandler, Ross, 3
Nora, Chandler, 1
Houseboy, Chandler, 1
Phoebe, Soldier, 2
Judy, Monica, 3
Judy, Ross, 2
Chandler, Judy, 2
Jack, Chandler, 2
Chandler, Monica, 7
Jack, Judy, 1
Rachel, Jack, 1
Rachel, Judy, 1
Jack, Ross, 1
Doctor, Chandler, 1
Doctor, Ross, 1
Doctor, Monica, 1
